,image_path,pytesseract_text,unskewed_text,paddle_text,skew_angle,unskewed_image_path,full_caps,oversized,linguistic_features
0,/home/atogni/Desktop/ocr_gradient/craft_model/output/CezOjxXOalw_1/CezOjxXOalw_1 (1).png,,,Diversity and inclusion to me is a workplace that thrives under collaboration It is understanding that success comes in our differencesand everyone should feellistened to and valued in the workplace,0.0,/home/atogni/Desktop/ocr_gradient/craft_model/output/CezOjxXOalw_1/CezOjxXOalw_1 (1)_unskewed.png,[],[''],"{'full': [{'token_0': 'Diversity', 'pos': 'NOUN', 'label': 'nsubj', 'lemma': 'diversity'}, {'token_1': 'and', 'pos': 'CCONJ', 'label': 'cc', 'lemma': 'and'}, {'token_2': 'inclusion', 'pos': 'NOUN', 'label': 'conj', 'lemma': 'inclusion'}, {'token_3': 'to', 'pos': 'ADP', 'label': 'prep', 'lemma': 'to'}, {'token_4': 'me', 'pos': 'PRON', 'label': 'pobj', 'lemma': 'I'}, {'token_5': 'is', 'pos': 'AUX', 'label': 'ROOT', 'lemma': 'be'}, {'token_6': 'a', 'pos': 'DET', 'label': 'det', 'lemma': 'a'}, {'token_7': 'workplace', 'pos': 'NOUN', 'label': 'attr', 'lemma': 'workplace'}, {'token_8': 'that', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'that'}, {'token_9': 'thrives', 'pos': 'VERB', 'label': 'relcl', 'lemma': 'thrive'}, {'token_10': 'under', 'pos': 'ADP', 'label': 'prep', 'lemma': 'under'}, {'token_11': 'collaboration', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'collaboration'}, {'token_12': 'It', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'it'}, {'token_13': 'is', 'pos': 'AUX', 'label': 'aux', 'lemma': 'be'}, {'token_14': 'understanding', 'pos': 'VERB', 'label': 'relcl', 'lemma': 'understand'}, {'token_15': 'that', 'pos': 'SCONJ', 'label': 'mark', 'lemma': 'that'}, {'token_16': 'success', 'pos': 'NOUN', 'label': 'nsubj', 'lemma': 'success'}, {'token_17': 'comes', 'pos': 'VERB', 'label': 'ccomp', 'lemma': 'come'}, {'token_18': 'in', 'pos': 'ADP', 'label': 'prep', 'lemma': 'in'}, {'token_19': 'our', 'pos': 'PRON', 'label': 'poss', 'lemma': 'our'}, {'token_20': 'differencesand', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'differencesand'}, {'token_21': 'everyone', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'everyone'}, {'token_22': 'should', 'pos': 'AUX', 'label': 'aux', 'lemma': 'should'}, {'token_23': 'feellistened', 'pos': 'VERB', 'label': 'ccomp', 'lemma': 'feellistened'}, {'token_24': 'to', 'pos': 'ADP', 'label': 'prep', 'lemma': 'to'}, {'token_25': 'and', 'pos': 'CCONJ', 'label': 'cc', 'lemma': 'and'}, {'token_26': 'valued', 'pos': 'VERB', 'label': 'conj', 'lemma': 'value'}, {'token_27': 'in', 'pos': 'ADP', 'label': 'prep', 'lemma': 'in'}, {'token_28': 'the', 'pos': 'DET', 'label': 'det', 'lemma': 'the'}, {'token_29': 'workplace', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'workplace'}], 'noun_chunks': [Diversity, inclusion, me, a workplace, that, collaboration, It, success, our differencesand, everyone, the workplace]}"
1,/home/atogni/Desktop/ocr_gradient/craft_model/output/CezOjxXOalw_1/CezOjxXOalw_1.png,,,,0.0,/home/atogni/Desktop/ocr_gradient/craft_model/output/CezOjxXOalw_1/CezOjxXOalw_1_unskewed.png,[],[],"{'full': [{'token_0': 'Diversity', 'pos': 'NOUN', 'label': 'nsubj', 'lemma': 'diversity'}, {'token_1': 'and', 'pos': 'CCONJ', 'label': 'cc', 'lemma': 'and'}, {'token_2': 'inclusion', 'pos': 'NOUN', 'label': 'conj', 'lemma': 'inclusion'}, {'token_3': 'to', 'pos': 'ADP', 'label': 'prep', 'lemma': 'to'}, {'token_4': 'me', 'pos': 'PRON', 'label': 'pobj', 'lemma': 'I'}, {'token_5': 'is', 'pos': 'AUX', 'label': 'ROOT', 'lemma': 'be'}, {'token_6': 'a', 'pos': 'DET', 'label': 'det', 'lemma': 'a'}, {'token_7': 'workplace', 'pos': 'NOUN', 'label': 'attr', 'lemma': 'workplace'}, {'token_8': 'that', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'that'}, {'token_9': 'thrives', 'pos': 'VERB', 'label': 'relcl', 'lemma': 'thrive'}, {'token_10': 'under', 'pos': 'ADP', 'label': 'prep', 'lemma': 'under'}, {'token_11': 'collaboration', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'collaboration'}, {'token_12': 'It', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'it'}, {'token_13': 'is', 'pos': 'AUX', 'label': 'aux', 'lemma': 'be'}, {'token_14': 'understanding', 'pos': 'VERB', 'label': 'relcl', 'lemma': 'understand'}, {'token_15': 'that', 'pos': 'SCONJ', 'label': 'mark', 'lemma': 'that'}, {'token_16': 'success', 'pos': 'NOUN', 'label': 'nsubj', 'lemma': 'success'}, {'token_17': 'comes', 'pos': 'VERB', 'label': 'ccomp', 'lemma': 'come'}, {'token_18': 'in', 'pos': 'ADP', 'label': 'prep', 'lemma': 'in'}, {'token_19': 'our', 'pos': 'PRON', 'label': 'poss', 'lemma': 'our'}, {'token_20': 'differencesand', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'differencesand'}, {'token_21': 'everyone', 'pos': 'PRON', 'label': 'nsubj', 'lemma': 'everyone'}, {'token_22': 'should', 'pos': 'AUX', 'label': 'aux', 'lemma': 'should'}, {'token_23': 'feellistened', 'pos': 'VERB', 'label': 'ccomp', 'lemma': 'feellistened'}, {'token_24': 'to', 'pos': 'ADP', 'label': 'prep', 'lemma': 'to'}, {'token_25': 'and', 'pos': 'CCONJ', 'label': 'cc', 'lemma': 'and'}, {'token_26': 'valued', 'pos': 'VERB', 'label': 'conj', 'lemma': 'value'}, {'token_27': 'in', 'pos': 'ADP', 'label': 'prep', 'lemma': 'in'}, {'token_28': 'the', 'pos': 'DET', 'label': 'det', 'lemma': 'the'}, {'token_29': 'workplace', 'pos': 'NOUN', 'label': 'pobj', 'lemma': 'workplace'}], 'noun_chunks': [Diversity, inclusion, me, a workplace, that, collaboration, It, success, our differencesand, everyone, the workplace]}"
